Time,Count,Voltage V1,Voltage V2,Voltage V3,Voltage V4,Voltage V5,Voltage V6,Voltage V7,Voltage V8,Force 1,Force 2,Force 3,Force 4,Force 5,Force 6
375749536,7680,0.000563,-0.003,0.002625,-0.00675,0.000563,0.0015,0.003,0,0,0,0,0,0,0
375847266,7681,0.000563,-0.002812,0.002438,-0.006562,0.00075,0.0015,0.003,-0.000187,0,0,0,0,0,0
375896132,7683,0.00075,-0.002812,0.002438,-0.006562,0.00075,0.001312,0.003,0.000188,0,0,0,0,0,0
375993857,7684,0.00075,-0.002812,0.00225,-0.006562,0.00075,0.0015,0.003,0.000188,0,0,0,0,0,0
376042734,7686,0.00075,-0.003,0.002438,-0.006187,0.00075,0.001312,0.003,0,0,0,0,0,0,0
376140465,7687,0,-0.003187,0.003,-0.006187,0.000187,0.001312,0.003,0,0,0,0,0,0,0
376140465,7688,0,-0.003187,0.003,-0.006187,0.000187,0.001312,0.003,0,0,0,0,0,0,0
376238145,7689,0,-0.003562,0.003187,-0.006,0.00075,0.0015,0.003187,0.000375,0,0,0,0,0,0
376287008,7691,0.000188,-0.003187,0.003,-0.006375,0.000563,0.001312,0.003,0.000375,0,0,0,0,0,0
376384691,7692,0,-0.003187,0.002812,-0.006375,0.000563,0.001312,0.003,0,0,0,0,0,0,0
376384691,7693,0,-0.003187,0.002812,-0.006375,0.000563,0.001312,0.003,0,0,0,0,0,0,0
376482425,7694,0.000563,-0.003187,0.002438,-0.006375,0.00075,0.001312,0.003,0.000188,0,0,0,0,0,0
376531288,7695,0.001313,-0.003,0.0015,-0.00675,0.000938,0.0015,0.003187,0.000375,0,0,0,0,0,0
376580161,7696,0.000938,-0.003,0.00225,-0.006562,0.000938,0.0015,0.003187,0.000188,0,0,0,0,0,0
376629059,7698,0.000188,-0.002812,0.002812,-0.006938,0.000375,0.001312,0.003187,0,0,0,0,0,0,0
376726757,7699,0.000563,-0.003187,0.002438,-0.006375,0.000563,0.0015,0.003375,0.000375,0,0,0,0,0,0
376775604,7701,0.002625,-0.003375,0,-0.00675,0.0015,0.002063,0.00375,0.001125,0,0,0,0,0,0
376873354,7702,0.003938,-0.003187,-0.000563,-0.007125,0.001688,0.002813,0.004313,0.001312,0,0,0,0,0,0
376873354,7703,0.003938,-0.003187,-0.000563,-0.007125,0.001688,0.002813,0.004313,0.001312,0,0,0,0,0,0
376971107,7704,0.000563,-0.002062,0.003,-0.009,0.000938,0.002438,0.004125,0.001125,0,0,0,0,0,0
377019972,7706,-0.004875,-0.001312,0.009187,-0.00975,-0.000187,0.001687,0.003937,0.000563,0,0,0,0,0,0
377117739,7707,-0.005625,-0.000937,0.010312,-0.010125,-0.000938,0.001687,0.003937,0.000375,0,0,0,0,0,0
377117739,7708,-0.005625,-0.000937,0.010312,-0.010125,-0.000938,0.001687,0.003937,0.000375,0,0,0,0,0,0
377215464,7709,-0.008062,-0.001312,0.01275,-0.00975,-0.00075,0.0015,0.004125,0.000563,0,0,0,0,0,0
